fecha,usuarios sin suministro edesur,usuarios sin suministro edenor
2016-01-3102:10:04,43,434
2016-01-3103:10:04,43,434
2016-01-3104:10:05,43,434
2016-01-3105:10:04,43,434
2016-01-3106:10:04,43,434
2016-01-3107:10:04,43,0
2016-01-3108:10:04,43,0
2016-01-3109:10:06,2480,1
2016-01-3110:10:05,2480,75
2016-01-3111:10:04,2480,77
2016-01-3112:10:04,2480,175
2016-01-3113:10:05,2480,1036
2016-01-3114:10:04,2480,175
2016-01-3115:10:04,0,362
2016-01-3116:10:04,7831,362
2016-01-3117:10:04,11953,584
2016-01-3118:10:04,4520,584
2016-01-3119:10:04,3048,379
2016-01-3120:10:04,665,379
2016-01-3121:10:04,5695,0
2016-01-3122:10:06,9612,0
2016-01-3123:10:05,4315,0
2016-02-0100:10:04,4315,0
2016-02-0101:10:04,976,0
2016-02-0102:10:04,3982,0
2016-02-0103:10:03,0,0
2016-02-0104:10:04,0,0
2016-02-0105:10:04,0,0
2016-02-0106:10:04,0,0
2016-02-0107:10:05,0,0
2016-02-0108:10:03,0,4084
2016-02-0109:10:03,4783,2442
2016-02-0110:10:04,0,3147
2016-02-0111:10:04,0,6965
2016-02-0112:10:04,0,8216
2016-02-0113:10:04,2623,9035
2016-02-0114:10:06,2540,3957
2016-02-0115:10:06,2540,3026
2016-02-0116:10:05,2540,612
2016-02-0117:10:06,0,1864
2016-02-0118:10:05,0,1820
2016-02-0119:10:04,0,1208
2016-02-0120:10:04,0,1208
2016-02-0121:10:06,0,1208
2016-02-0122:10:05,0,1208
2016-02-0123:10:06,0,6269
2016-02-0200:10:09,0,6269
2016-02-0201:10:04,0,6269
2016-02-0202:10:03,0,6269
2016-02-0203:10:03,0,0
2016-02-0204:10:05,0,0
2016-02-0205:10:04,0,0
2016-02-0206:10:04,0,0
2016-02-0207:10:05,0,0
2016-02-0208:10:04,0,0
2016-02-0209:10:03,0,6832
2016-02-0210:10:04,3863,3432
2016-02-0211:10:03,3684,3984
2016-02-0212:10:05,588,7198
2016-02-0213:10:04,588,5987
2016-02-0214:10:06,588,4233
2016-02-0215:10:04,588,2362
2016-02-0216:10:05,588,1146
2016-02-0217:10:04,0,2472
2016-02-0218:10:05,0,2065
